D10A_data-2006-03-26-0836.txt

d10a.D10A Time	Hr	Mn	Sec	fractions of sec	Pitch	Bank	Heading	IAS	Baro Altitude	Yaw rate	Ny	Nz
(seconds)	(Hr)	(Mn)	(Sec)	(1/64 sec)	(deg)	(deg)	(deg mag)	(KIAS)	(ft)	(deg/s)	(g)	(g)
1143380451.91	11	36	21	19	0.0	0.0	000	0.0	-1197.5066	+000	-0.0	-0.0
1143380452.02	11	36	21	24	0.0	0.0	000	0.0	-1197.5066	+000	-0.0	-0.0
1143380453.01	13	45	58	24	10.1	1.0	305	0.0	-252.62468	+001	0.02	1.0
1143380454.0	13	45	59	25	10.2	1.0	306	0.0	-252.62468	+003	0.02	1.0
1143380455.0	13	46	00	24	10.2	1.1	306	0.0	-252.62468	+003	0.02	1.0
1143380456.03	13	46	01	25	10.3	1.1	306	0.0	-252.62468	+003	0.02	1.0
1143380457.03	13	46	02	25	10.2	1.1	306	0.0	-252.62468	+003	0.02	1.0
1143380458.03	13	46	03	25	10.1	1.1	306	0.0	-252.62468	+003	0.02	1.0
1143380459.03	13	46	04	25	10.1	1.1	306	0.0	-252.62468	+003	0.02	1.0
1143380460.04	13	46	05	25	10.1	1.1	306	0.0	-252.62468	+003	0.02	1.0
1143380461.03	13	46	06	25	10.1	1.1	306	0.0	-255.90552	+003	0.02	1.0
1143380462.03	13	46	07	24	10.1	1.1	306	0.0	-255.90552	+003	0.02	1.0
1143380463.01	13	46	08	24	10.1	1.0	306	0.0	-255.90552	+003	0.02	1.0
1143380464.04	13	46	09	25	10.1	1.0	306	0.0	-255.90552	+003	0.02	1.0
1143380465.02	13	46	10	24	10.2	1.1	306	0.0	-255.90552	+003	0.02	1.0
1143380466.03	13	46	11	25	10.2	1.1	306	0.0	-259.18636	+003	0.02	1.0
1143380467.03	13	46	12	25	10.1	1.0	305	0.0	-259.18636	+003	0.02	1.0
1143380468.02	13	46	13	25	10.1	1.0	305	0.0	-262.4672	+003	0.02	1.0
1143380469.03	13	46	14	25	10.1	1.0	305	0.0	-278.8714	+003	0.02	1.0
1143380470.03	13	46	15	25	10.1	1.0	305	0.0	-285.43308	+003	0.02	1.0
1143380471.04	13	46	16	25	10.1	1.0	305	0.0	-288.71392	+003	0.02	1.0
1143380472.04	13	46	17	25	10.1	1.0	305	0.0	-288.71392	+003	0.02	1.0
1143380473.03	13	46	18	25	10.1	1.0	305	0.0	-291.99476	+003	0.02	1.0
1143380474.04	13	46	19	25	10.0	1.0	305	0.0	-291.99476	+003	0.02	1.0
1143380475.0	13	46	20	25	10.1	1.0	305	0.0	-291.99476	+003	0.02	1.0
1143380476.04	13	46	21	25	10.1	1.0	305	0.0	-291.99476	+003	0.02	1.0
1143380477.04	13	46	22	25	10.1	0.9	305	0.0	-291.99476	+003	0.02	1.0
1143380478.04	13	46	23	25	10.0	0.9	305	0.0	-291.99476	+003	0.02	1.0
1143380479.0	13	46	24	25	10.0	0.9	305	0.0	-291.99476	+003	0.02	1.0
1143380480.0	13	46	25	25	10.0	0.9	305	0.0	-291.99476	+002	0.02	1.0
1143380481.0	13	46	26	25	10.0	1.0	305	0.0	-291.99476	+003	0.02	1.0
