Discretes_data-2006-03-26-0836.txt

discretes.Discretes Time	Event Marker
(seconds)	(1 = Event)
1143380203.57	0
1143380204.01	0
1143380205.0	0
1143380206.02	0
1143380207.02	0
1143380208.02	0
1143380209.0	0
1143380210.0	0
1143380211.01	0
1143380212.0	0
1143380213.0	0
1143380214.0	0
1143380215.01	0
1143380216.01	0
1143380217.01	0
1143380218.01	0
1143380219.01	0
1143380220.01	0
1143380221.02	0
1143380222.02	0
1143380223.02	0
1143380224.0	0
1143380225.02	0
1143380226.0	0
1143380227.0	0
1143380228.0	0
1143380229.0	0
1143380230.0	0
1143380231.01	0
1143380232.01	0
1143380233.01	0
1143380234.01	0
1143380235.01	0
1143380236.01	0
1143380237.01	0
1143380238.01	0
1143380239.01	0
1143380240.01	0
1143380241.01	0
1143380242.01	0
1143380243.01	0
1143380244.02	0
1143380245.02	0
1143380246.02	0
1143380247.02	0
1143380248.02	0
1143380249.01	0
1143380250.0	0
1143380251.01	0
1143380252.0	0
1143380253.01	0
1143380254.01	0
1143380255.01	0
1143380256.01	0
1143380257.01	0
1143380258.0	0
1143380259.01	0
1143380260.01	0
1143380261.02	0
1143380262.0	0
1143380263.0	0
1143380264.0	0
1143380265.0	0
1143380266.0	0
1143380267.01	0
1143380268.01	0
1143380269.01	0
1143380270.01	0
1143380271.02	0
1143380272.02	0
1143380273.02	0
1143380274.02	0
1143380275.02	0
1143380276.02	0
1143380277.02	0
1143380278.0	0
1143380279.0	0
1143380280.0	0
1143380281.0	0
1143380282.0	0
1143380283.0	0
1143380284.01	0
1143380285.01	0
1143380286.01	0
1143380287.01	0
1143380288.02	0
1143380289.01	0
1143380290.02	0
1143380291.02	0
1143380292.02	0
1143380293.02	0
1143380294.03	0
1143380295.03	0
1143380296.03	0
1143380297.03	0
1143380298.03	0
1143380299.03	0
1143380300.04	0
1143380301.04	0
1143380302.04	0
1143380303.0	0
1143380304.0	0
1143380305.0	0
1143380306.0	0
1143380307.0	0
1143380308.04	0
1143380309.0	0
1143380310.0	0
1143380311.0	0
1143380312.0	0
1143380313.05	0
1143380314.0	0
1143380315.01	0
1143380316.0	0
1143380317.0	0
1143380318.01	0
1143380319.0	0
1143380320.0	0
1143380321.01	0
1143380322.01	0
1143380323.01	0
1143380324.0	0
1143380325.0	0
1143380326.0	0
1143380327.02	0
1143380328.0	0
1143380329.0	0
1143380330.0	0
1143380331.0	0
1143380332.0	0
1143380333.0	0
1143380334.02	0
1143380335.0	0
1143380336.0	0
1143380337.0	0
1143380338.0	0
1143380339.01	0
1143380340.01	0
1143380341.01	0
1143380342.0	0
1143380343.0	0
1143380344.0	0
1143380345.01	0
1143380346.0	0
1143380347.0	0
1143380348.0	0
1143380349.01	0
1143380350.01	0
1143380351.0	0
1143380352.0	0
1143380353.0	0
1143380354.0	0
1143380355.0	0
1143380356.0	0
1143380357.0	0
1143380358.0	0
1143380359.0	0
1143380360.0	0
1143380361.0	0
1143380362.02	0
1143380363.02	0
1143380364.0	0
1143380365.0	0
1143380366.0	0
1143380367.0	0
1143380368.0	0
1143380369.01	0
1143380370.0	0
1143380371.0	0
1143380372.0	0
1143380373.02	0
1143380374.0	0
1143380375.01	0
1143380376.0	0
1143380377.02	0
1143380378.0	0
1143380379.01	0
1143380380.0	0
1143380381.01	0
1143380382.01	0
1143380383.0	0
