EIS4000_data-2006-03-26-0836.txt

eis4000.EIS4000 Time	RPM	MP	OAT	Fuel Flow	Fuel Qty	CHT 1	CHT 2	CHT 3	CHT 4	EGT 1	EGT 2	EGT 3	EGT 4	Oil Temp	Oil Press	Volt	Hour Meter	Hrs	Min	Sec	Hours End	Min End	Unit Temp
(seconds)	(RPM)	(in HG)	(deg C)	(USG/hr)	(USG)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(psi)	(volt)	(hr)	(hr)	(mn)	(s)	(hr)	(mn)	(deg C)
1143380475.76	0	0	0	0.0	0.0	0	0	0	0	60	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0
1143380476.64	65525	4	-28	0.0	0.0	0	0	0	0	1	0	0	0	0	0	1.5	0.0	0	0	0	0	0	0
1143380476.9	65525	6	-28	0.0	0.0	0	0	0	0	1	0	0	0	0	0	2.8	0.0	0	0	0	0	0	0
1143380477.16	0	8	-28	0.0	0.0	0	0	0	0	1	0	0	0	0	0	3.9	0.0	0	0	0	0	0	0
1143380477.43	0	10	-28	0.0	0.0	0	0	0	0	1	0	0	0	0	0	4.9	0.0	0	0	0	0	0	0
1143380477.69	0	12	-28	0.0	0.0	0	0	0	0	1	0	0	0	0	0	5.8	0.0	0	0	0	0	0	0
1143380477.96	0	14	-28	0.0	0.0	0	0	0	0	1	0	0	0	3	0	6.6	0.0	0	0	0	0	0	0
1143380478.22	0	15	-28	0.0	0.0	0	0	0	0	1	0	0	0	5	0	7.3	0.0	0	0	0	0	0	1
1143380478.5	0	17	-28	0.0	0.0	0	0	0	0	1	2	1	2	7	0	7.9	0.0	0	0	0	0	0	4
1143380478.78	0	18	-28	0.0	0.0	0	0	0	0	3	3	3	2	9	0	8.4	0.0	0	0	0	0	0	5
1143380479.04	0	20	-28	0.0	0.0	0	0	0	0	4	4	4	3	10	0	8.8	0.0	0	0	0	0	0	6
1143380479.32	0	21	-28	0.0	0.0	0	0	0	0	5	6	5	4	11	0	9.2	0.0	0	0	0	0	0	8
1143380479.57	0	22	-28	0.0	0.0	0	0	0	0	7	7	7	7	12	0	9.6	0.0	0	0	0	0	0	9
1143380479.84	0	23	-28	0.0	0.0	0	0	0	0	7	8	8	8	13	0	9.9	0.0	0	0	0	0	0	10
