GNS430_data-2006-03-26-0836.txt

gns430.GNS430 Time	Grd Speed	Track	GPS Altitude	Latitude	Longitude	Desired Track	Cross Track Error	Active Waypoint	Distance to Waypoint	Bearing to Waypoint	Magnetic Variation
(seconds)	(kt)	(deg mag)	(ft)	(deg N)	(deg W)	(deg mag)	(nm R)	()	(nm)	(deg mag)	(deg E)
1143380204.63	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380433.67	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380434.67	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380435.67	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380436.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380437.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380438.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380439.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380440.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380441.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380442.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380443.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380444.68	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380445.69	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380446.69			-----								-14.1
1143380447.69			-----								-14.1
1143380448.69			-----								-14.1
1143380449.69			-----								-14.1
1143380450.69			-----								-14.1
1143380451.69			-----								-14.1
1143380452.7			-----								-14.1
1143380453.71			-----								-14.1
1143380454.69			-----								-14.1
1143380455.7			-----								-14.1
1143380456.7			-----								-14.1
1143380457.7			-----								-14.1
1143380458.7			-----								-14.1
1143380459.7			-----								-14.1
1143380460.7			-----								-14.1
1143380461.7			-----								-14.1
1143380462.7			-----								-14.1
1143380463.7			-----								-14.1
1143380464.71			-----								-14.1
1143380465.71	000	014	00381	45.2528333333	75.582						-14.1
1143380466.71	000	014	00381	45.2528333333	75.582						-14.1
1143380467.71	000	014	00373	45.2528333333	75.582						-14.1
1143380468.71	000	014	00368	45.2528333333	75.582						-14.1
1143380469.71	000	014	00370	45.2528333333	75.582						-14.1
1143380470.71	000	014	00379	45.2528333333	75.5821666667						-14.1
1143380471.71	000	014	00391	45.253	75.5821666667						-14.1
1143380472.71	000	014	00396	45.253	75.5821666667						-14.1
1143380473.71	000	014	00400	45.253	75.5821666667						-14.1
1143380474.72	000	014	00401	45.253	75.5821666667						-14.1
1143380475.72	000	014	00397	45.253	75.5821666667						-14.1
1143380476.72	000	014	00392	45.253	75.582						-14.1
1143380477.72	000	014	00388	45.253	75.582						-14.1
1143380478.72	000	014	00384	45.253	75.582						-14.1
1143380479.72	000	014	00383	45.253	75.582						-14.1
1143380480.72	000	014	00384	45.253	75.582						-14.1
1143380481.72	000	014	00385	45.253	75.582						-14.1
1143380482.72	000	014	00387	45.253	75.582						-14.1
1143380483.72	000	014	00389	45.253	75.582						-14.1
1143380484.72	000	014	00390	45.253	75.582						-14.1
1143380485.73	000	014	00390	45.253	75.582						-14.1
1143380486.73	000	014	00390	45.253	75.582						-14.1
1143380487.73	000	014	00390	45.253	75.582						-14.1
1143380488.73	000	014	00390	45.253	75.582						-14.1
1143380489.73	000	014	00389	45.253	75.582						-14.1
1143380490.73	000	014	00388	45.253	75.582						-14.1
1143380491.73	000	014	00387	45.253	75.582						-14.1
1143380492.73	000	014	00386	45.253	75.582						-14.1
1143380493.73	000	014	00385	45.2528333333	75.582						-14.1
1143380494.74	000	014	00384	45.2528333333	75.582						-14.1
1143380495.74	000	014	00383	45.2528333333	75.582						-14.1
1143380496.74	000	014	00381	45.2528333333	75.582						-14.1
1143380497.74	000	014	00379	45.2528333333	75.582						-14.1
1143380498.74	000	014	00377	45.2528333333	75.582						-14.1
1143380499.74	000	014	00376	45.2528333333	75.582						-14.1
1143380500.74	000	014	00374	45.2528333333	75.582						-14.1
1143380501.74	000	014	00371	45.2528333333	75.582						-14.1
1143380502.74	000	014	00374	45.2528333333	75.582						-14.1
1143380503.74	000	014	00376	45.2528333333	75.582						-14.1
1143380504.75	000	014	00372	45.2528333333	75.582						-14.1
1143380505.75	000	014	00369	45.2528333333	75.582						-14.1
1143380506.75	000	014	00366	45.2528333333	75.582						-14.1
1143380507.75	000	014	00364	45.2528333333	75.582						-14.1
1143380508.75	000	014	00362	45.2528333333	75.582						-14.1
1143380509.75	000	014	00361	45.2528333333	75.582						-14.1
1143380510.75	000	014	00361	45.2528333333	75.582						-14.1
1143380511.75	000	014	00362	45.2528333333	75.582						-14.1
1143380512.75	000	014	00363	45.2528333333	75.582						-14.1
1143380513.75	000	014	00364	45.2528333333	75.582						-14.1
1143380514.75	000	014	00366	45.2528333333	75.582						-14.1
1143380515.76	000	014	00368	45.2528333333	75.582						-14.1
1143380516.76	000	014	00370	45.2528333333	75.582						-14.1
1143380517.76	000	014	00371	45.2528333333	75.582						-14.1
1143380518.76	000	014	00373	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380519.76	000	014	00374	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380520.76	000	014	00375	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380521.76	000	014	00377	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380522.76	000	014	00378	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380523.76	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380524.77	000	014	00380	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380525.77	000	014	00380	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380526.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380527.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380528.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380529.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380530.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380531.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380532.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380533.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380534.78	000	014	00378	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380535.89	000	014	00378	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380536.78	000	014	00377	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380537.81	000	014	00376	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380538.81	000	014	00376	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380539.78	000	014	00375	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380540.78	000	014	00374	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380541.78	000	014	00373	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380542.78	000	014	00373	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380543.78	000	014	00371	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
